eliteId,PlayerName,BirthDate,BirthYear,BirthMonth,BirthDay,Birthplace,Nation,Height_info,Height,Weight_info,Weight,Position_info,Position,Shoots,DraftYear,DraftRound,Overall,OverallBy,Season,Team,League,GameType,GP,G,A,P,PIM,PlusMinus
3664,Dany Heatley,1981-01-21,1981,01,21,"Freiburg, GER",Canada,"192 cm / 6'3""",75,96 kg / 212 lbs,212,LW/RW,L,L,2000,1,2,Atlanta Thrashers,1999-2000,Univ. of Wisconsin,NCAA,Regular Season,38,28,28,56,32,Null
3664,Dany Heatley,1981-01-21,1981,01,21,"Freiburg, GER",Canada,"192 cm / 6'3""",75,96 kg / 212 lbs,212,LW/RW,L,L,2000,1,2,Atlanta Thrashers,1999-2000,Canada U20,WJC-20,Regular Season,7,2,2,4,4,-1
3665,Marian Gaborik,1982-02-14,1982,02,14,"Trencin, SVK",Slovakia,"185 cm / 6'1""",73,93 kg / 205 lbs,205,RW/LW,R,L,2000,1,3,Minnesota Wild,1999-2000,HK Dukla Trencin,Slovakia,Regular Season,50,25,21,46,34,Null
3665,Marian Gaborik,1982-02-14,1982,02,14,"Trencin, SVK",Slovakia,"185 cm / 6'1""",73,93 kg / 205 lbs,205,RW/LW,R,L,2000,1,3,Minnesota Wild,1999-2000,HK Dukla Trencin,Slovakia,Playoffs,5,1,2,3,2, 
3665,Marian Gaborik,1982-02-14,1982,02,14,"Trencin, SVK",Slovakia,"185 cm / 6'1""",73,93 kg / 205 lbs,205,RW/LW,R,L,2000,1,3,Minnesota Wild,1999-2000,Slovakia U18,WJC-18,Regular Season,6,6,2,8,12,3
3665,Marian Gaborik,1982-02-14,1982,02,14,"Trencin, SVK",Slovakia,"185 cm / 6'1""",73,93 kg / 205 lbs,205,RW/LW,R,L,2000,1,3,Minnesota Wild,1999-2000,Slovakia U20,WJC-20,Regular Season,7,3,1,4,0,0
8622,Rostislav Klesla,1982-03-21,1982,03,21,"Novy Jicin, CZE",Czech Rep.,"191 cm / 6'3""",75,91 kg / 201 lbs,201,D,D,L,2000,1,4,Columbus Blue Jackets,1999-2000,Brampton Battalion,OHL,Regular Season,67,16,29,45,174,3
8622,Rostislav Klesla,1982-03-21,1982,03,21,"Novy Jicin, CZE",Czech Rep.,"191 cm / 6'3""",75,91 kg / 201 lbs,201,D,D,L,2000,1,4,Columbus Blue Jackets,1999-2000,Brampton Battalion,OHL,Playoffs,6,1,1,2,21,-3 
8857,Raffi Torres,1981-10-08,1981,10,08,"Toronto, ON, CAN",Canada,"183 cm / 6'0""",72,98 kg / 216 lbs,216,LW,L,L,2000,1,5,New York Islanders,1999-2000,Brampton Battalion,OHL,Regular Season,68,43,48,91,40,6
8857,Raffi Torres,1981-10-08,1981,10,08,"Toronto, ON, CAN",Canada,"183 cm / 6'0""",72,98 kg / 216 lbs,216,LW,L,L,2000,1,5,New York Islanders,1999-2000,Brampton Battalion,OHL,Playoffs,6,5,2,7,23,-2 
